Term,Translate,Context,Reference,Comment
Locale.AR,العربية (v0.2),,Locale.xaml,
Locale.CS,Čeština (v1.1),,Locale.xaml,
Locale.DA,Dansk (v1.1),,Locale.xaml,
Locale.DE,Deutsch (v1.3),,Locale.xaml,
Locale.EL,Ελληνική (v1.1),,Locale.xaml,
Locale.EN,English (v1.5),,Locale.xaml,
Locale.ES,Español (v1.3),,Locale.xaml,
Locale.FR,Français (v1.3),,Locale.xaml,
Locale.HE,עברית (v0.2),,Locale.xaml,
Locale.HI,हिन्दी (v1.1),,Locale.xaml,
Locale.ID,Indonesia (v1.0),,Locale.xaml,
Locale.IT,Italiano (v1.1),,Locale.xaml,
Locale.JA,日本語 (v1.1),,Locale.xaml,
Locale.KO,한국어 (v1.1),,Locale.xaml,
Locale.MS,Melayu (v1.0),,Locale.xaml,
Locale.NB,Norsk (v1.1),,Locale.xaml,
Locale.NL,Nederlands (v1.1),,Locale.xaml,
Locale.PL,Polski (v1.3),,Locale.xaml,
Locale.PT,Português (v1.0),,Locale.xaml,
Locale.RO,Română (v1.1),,Locale.xaml,
Locale.RU,Русский (v1.1),,Locale.xaml,
Locale.SV,Svenska (v1.1),,Locale.xaml,
Locale.TR,Türkçe (v1.5),,Locale.xaml,
Locale.UK,Українська (v1.1),,Locale.xaml,
Locale.ZH,中文 (v1.1),,Locale.xaml,
